customer_city,customer_state,product_category_name_english,total_orders,avg_payment_value,avg_payment_installments,avg_freight_value,avg_price,avg_products_ordered
canavieiras,BA,health_beauty,1,69.710000,1.0000,22.060000,47.650000,1
canavieiras,BA,telephony,1,57.060000,1.0000,22.060000,35.000000,1
candeal,BA,bed_bath_table,1,176.650000,3.0000,31.660000,144.990000,1
candeias,BA,electronics,2,37.490000,2.5000,15.790000,21.700000,2
candeias,BA,garden_tools,2,132.640000,2.5000,28.640000,104.000000,2
"candido sales",BA,christmas_supplies,1,120.530000,2.0000,40.630000,79.900000,1
"candido sales",BA,perfumery,1,73.830000,3.0000,16.840000,56.990000,1
"candido sales",BA,watches_gifts,1,278.160000,4.0000,18.260000,259.900000,1
cansancao,BA,stationery,2,161.150000,5.0000,41.200000,119.950000,2
canudos,BA,furniture_decor,1,232.890000,4.0000,57.990000,174.900000,1
"capela do alto alegre",BA,bed_bath_table,1,56.780000,2.0000,16.790000,39.990000,1
"capim grosso",BA,health_beauty,2,129.835000,3.5000,27.840000,101.995000,2
caraibas,BA,telephony,1,249.800000,1.0000,13.900000,235.900000,1
caravelas,BA,bed_bath_table,1,222.630000,3.0000,73.630000,149.000000,1
caravelas,BA,food,1,46.550000,1.0000,19.050000,27.500000,1
caravelas,BA,sports_leisure,1,197.600000,5.0000,17.700000,179.900000,1
carinhanha,BA,watches_gifts,1,250.890000,3.0000,51.890000,199.000000,1
carinhanha,BA,garden_tools,1,200.610000,1.0000,50.710000,149.900000,1
"carnaiba do sertao",BA,telephony,1,99.100000,9.0000,22.060000,27.490000,2
"casa nova",BA,fashion_bags_accessories,2,133.455000,8.0000,23.510000,109.945000,2
"castro alves",BA,computers_accessories,1,30.700000,1.0000,20.800000,9.900000,1
"castro alves",BA,fashion_bags_accessories,1,71.060000,1.0000,22.060000,49.000000,1
catu,BA,bed_bath_table,2,144.950000,2.5000,27.550000,117.400000,2
catu,BA,pet_shop,2,134.070000,5.5000,17.820000,116.250000,2
"catu de abrantes",BA,office_furniture,1,161.420000,3.0000,21.430000,139.990000,1
